iteration, fitness, path
45, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
46, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
47, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
48, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
49, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
50, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
51, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
52, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
53, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
54, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
55, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
56, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
57, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
58, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
59, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
60, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
61, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
62, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
63, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
64, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
65, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
66, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
67, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
68, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
69, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
70, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
71, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
72, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
73, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
74, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
75, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
76, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
77, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
78, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
79, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
80, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
81, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
82, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
83, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
84, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
85, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
86, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
87, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
88, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
89, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
90, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
91, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
92, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
93, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
94, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
95, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
96, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
97, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
98, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
99, 2809.0, "0;18;20;3;2;10;7;6;12;21;22;24;13;14;9;11;5;4;1;23;16;17;15;8;19;0"
