iteration, fitness, path
45, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
46, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
47, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
48, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
49, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
50, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
51, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
52, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
53, 2866.0, "0;5;4;3;1;16;23;2;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
54, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
55, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
56, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
57, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
58, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
59, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
60, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
61, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
62, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
63, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
64, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
65, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
66, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
67, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
68, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
69, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
70, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
71, 2793.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;8;24;22;21;12;6;7;10;17;15;0"
72, 2793.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;8;24;22;21;12;6;7;10;17;15;0"
73, 2793.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;8;24;22;21;12;6;7;10;17;15;0"
74, 2793.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;8;24;22;21;12;6;7;10;17;15;0"
75, 2735.0, "0;11;2;3;1;16;23;4;5;9;18;19;13;14;20;8;24;22;21;12;6;7;10;17;15;0"
76, 2735.0, "0;11;2;3;1;16;23;4;5;9;18;19;13;14;20;8;24;22;21;12;6;7;10;17;15;0"
77, 2735.0, "0;11;2;3;1;16;23;4;5;9;18;19;13;14;20;8;24;22;21;12;6;7;10;17;15;0"
78, 2735.0, "0;11;2;3;1;16;23;4;5;9;18;19;13;14;20;8;24;22;21;12;6;7;10;17;15;0"
79, 2735.0, "0;11;2;3;1;16;23;4;5;9;18;19;13;14;20;8;24;22;21;12;6;7;10;17;15;0"
80, 2735.0, "0;11;2;3;1;16;23;4;5;9;18;19;13;14;20;8;24;22;21;12;6;7;10;17;15;0"
81, 2714.0, "0;11;2;3;1;16;23;4;17;9;18;19;13;14;20;8;24;22;21;12;6;7;10;5;15;0"
82, 2714.0, "0;11;2;3;1;16;23;4;17;9;18;19;13;14;20;8;24;22;21;12;6;7;10;5;15;0"
83, 2714.0, "0;11;2;3;1;16;23;4;17;9;18;19;13;14;20;8;24;22;21;12;6;7;10;5;15;0"
84, 2655.0, "0;11;2;3;1;16;23;4;17;15;18;19;13;14;20;8;24;22;21;12;6;7;10;5;9;0"
85, 2655.0, "0;11;2;3;1;16;23;4;17;15;18;19;13;14;20;8;24;22;21;12;6;7;10;5;9;0"
86, 2655.0, "0;11;2;3;1;16;23;4;17;15;18;19;13;14;20;8;24;22;21;12;6;7;10;5;9;0"
87, 2655.0, "0;11;2;3;1;16;23;4;17;15;18;19;13;14;20;8;24;22;21;12;6;7;10;5;9;0"
88, 2655.0, "0;11;2;3;1;16;23;4;17;15;18;19;13;14;20;8;24;22;21;12;6;7;10;5;9;0"
89, 2655.0, "0;11;2;3;1;16;23;4;17;15;18;19;13;14;20;8;24;22;21;12;6;7;10;5;9;0"
90, 2655.0, "0;11;2;3;1;16;23;4;17;15;18;19;13;14;20;8;24;22;21;12;6;7;10;5;9;0"
91, 2655.0, "0;11;2;3;1;16;23;4;17;15;18;19;13;14;20;8;24;22;21;12;6;7;10;5;9;0"
92, 2542.0, "0;11;2;3;1;16;23;4;17;15;8;19;13;14;20;18;24;22;21;12;6;7;10;5;9;0"
93, 2542.0, "0;11;2;3;1;16;23;4;17;15;8;19;13;14;20;18;24;22;21;12;6;7;10;5;9;0"
94, 2542.0, "0;11;2;3;1;16;23;4;17;15;8;19;13;14;20;18;24;22;21;12;6;7;10;5;9;0"
95, 2542.0, "0;11;2;3;1;16;23;4;17;15;8;19;13;14;20;18;24;22;21;12;6;7;10;5;9;0"
96, 2542.0, "0;11;2;3;1;16;23;4;17;15;8;19;13;14;20;18;24;22;21;12;6;7;10;5;9;0"
97, 2542.0, "0;11;2;3;1;16;23;4;17;15;8;19;13;14;20;18;24;22;21;12;6;7;10;5;9;0"
98, 2542.0, "0;11;2;3;1;16;23;4;17;15;8;19;13;14;20;18;24;22;21;12;6;7;10;5;9;0"
99, 2542.0, "0;11;2;3;1;16;23;4;17;15;8;19;13;14;20;18;24;22;21;12;6;7;10;5;9;0"
